Place name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Coordinates
Abakan,2020,13495,14940,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('91.399735'), Decimal('53.751351'))"
Aikhal,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.543324'), Decimal('65.957161'))"
Loss,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('125.398355'), Decimal('58.602489'))"
Amderma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.577429'), Decimal('69.759076'))"
Anadyr (Carbon),2020,4255,4565,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('177.738273'), Decimal('64.713433'))"
Anapa (Vitjazevo),2020,43359,33653,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('37.341511'), Decimal('45.003748'))"
Apatite (Khibiny),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.581999'), Decimal('67.459641'))"
Arkhangelsk (Vaskovo),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.706789'), Decimal('64.592645'))"
Arkhangelsk (Talagy),2020,62698,61408,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.714892'), Decimal('64.596138'))"
Astrakhan (Narimanovo),2020,47384,46387,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.999896'), Decimal('46.287344'))"
Trip,2020,157,165,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.042241'), Decimal('56.431311'))"
Baykit,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('96.366763'), Decimal('61.681612'))"
Barnaul (Titov Name),2020,34657,33369,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('83.547723'), Decimal('53.361377'))"
In Salah,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
white Mountain,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('146.228094'), Decimal('68.553931'))"
Belgorod,2020,30337,23907,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.570541'), Decimal('50.645157'))"
Novy Urengoy,2020,4472,4032,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('66.694583'), Decimal('63.697412'))"
Belushi,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.623466'), Decimal('66.887693'))"
Usinsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.046174'), Decimal('63.927111'))"
Beringovskiy,2020,52,64,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('179.293427'), Decimal('63.025373'))"
Blagoveshchensk (Ignatevo),2020,44356,42978,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.407536'), Decimal('50.42238'))"
Bovanenkovo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('68.338149'), Decimal('70.319169'))"
Bogorodskoe,2020,143,150,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('140.445792'), Decimal('52.376818'))"
Bodaybo,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.225855'), Decimal('57.857975'))"
Bratsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('101.703088'), Decimal('56.365054'))"
Bryansk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.182693'), Decimal('53.213493'))"
Bugulma,2020,4162,4228,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.790306'), Decimal('54.634026'))"
Vanavara,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('102.303298'), Decimal('60.351026'))"
Varandey,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.202862'), Decimal('68.846223'))"
Верхневилюйск,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.278784'), Decimal('63.457425'))"
Vizhas,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.901117'), Decimal('66.637077'))"
Viljujsk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('121.691798'), Decimal('63.754713'))"
Vladivostok (Knevichi),2020,212443,176627,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('132.165103'), Decimal('43.396702'))"
Vladikavkaz (Beslan),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.604633'), Decimal('43.201857'))"
Vladimir,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.316228'), Decimal('56.123257'))"
Volgograd (Gumrak),2020,79367,75256,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.356743'), Decimal('48.792276'))"
Vologda,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.936025'), Decimal('59.284144'))"
Volokovaya,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.238974'), Decimal('66.483341'))"
Vorkuta,2020,868,512,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.00447'), Decimal('67.490244'))"
Voronezh (Chertovitskoe),2020,51220,48198,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.225359'), Decimal('51.812576'))"
Gelendzhik,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.025156'), Decimal('44.593815'))"
Gorno-Altaisk,2020,6581,6723,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.841302'), Decimal('51.969985'))"
Terrible (North),2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.699751'), Decimal('43.384707'))"
deputy,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('139.903775'), Decimal('69.391802'))"
Dixon,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('80.383003'), Decimal('73.516386'))"
Ekaterinburg (Koltsovo),2020,420348,360961,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.802263'), Decimal('56.750256'))"
Pitorafik,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.098589'), Decimal('58.464048'))"
Erbogaçen,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.019592'), Decimal('61.274815'))"
Jigansk,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('123.362449'), Decimal('66.788511'))"
Zhukovsky,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.117727'), Decimal('55.56167'))"
Gulf Lawrence (Lawrence),2020,328,338,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-71.970927'), Decimal('46.619124'))"
Zeyskaya,2020,93,73,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.087987'), Decimal('53.690803'))"
Zыrjanka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.898525'), Decimal('65.740391'))"
Ivanovo (Yuzhny),2020,2269,2224,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.94371'), Decimal('56.942303'))"
Igarka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.61538'), Decimal('67.442834'))"
Vorkuta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.434979'), Decimal('63.201582'))"
Izhevsk,2020,29312,28883,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.45064'), Decimal('56.830871'))"
Izhma,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.962626'), Decimal('65.026271'))"
Indiga,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.047682'), Decimal('67.645944'))"
Inta,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.11825'), Decimal('66.053127'))"
Yoshkar-Ola,2020,1804,1744,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.906786'), Decimal('56.700099'))"
Irkutsk,2020,196554,172959,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('104.355777'), Decimal('52.273103'))"
Kazan,2020,226985,207705,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.298591'), Decimal('55.608089'))"
Kaliningrad (Hrabrovo),2020,172858,154796,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('20.58582'), Decimal('54.883038'))"
Kaluga (Grabtsevo),2020,9885,8202,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.366974'), Decimal('54.54689'))"
Karatayka,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.412462'), Decimal('68.764539'))"
